"Year","Chamber","distcyc","Democrat","Republican","dem_rid","dem_fec_cand_id","dem_fec_comm_id","rep_rid","rep_fec_cand_id","rep_fec_comm_id","dem_vote_share","dem_pres_vs","dem_diff","incumbency_status","dem_composite","rep_composite","dem_cces_voter_perceptions","rep_cces_voter_perceptions","dem_cfscore","rep_cfscore","dem_dwdime","rep_dwdime","dem_dwnom","rep_dwnom","dem_contrib_cfscore","rep_contrib_cfscore","dem_contrib_dwnom","rep_contrib_dwnom","dem_hall_snyder","rep_hall_snyder","dem_ggum","rep_ggum","dem_shor_mcarty_state_leg","rep_shor_mcarty_state_leg","dem_bailey_bridge","rep_bailey_bridge","dem_web_text_score","rep_web_text_score","dem_meisels_text_score","rep_meisels_text_score","dem_twitter_score","rep_twitter_score","dem_pac_mod_nyt","rep_pac_mod_nyt","dem_pac_mod_nyt_24","rep_pac_mod_nyt_24","dem_pac_prog_nyt","dem_pac_prog_nyt_24","dem_tenure","rep_tenure","turnout_rate_dem","turnout_rate_rep","turnout_rate_ind","dem_total_receipts","rep_total_receipts","dem_total_pac_contribs","dem_total_indiv_unitemized","dem_total_indiv_contrib","dem_total_contribs_from_self","dem_total_disbursements","dem_cand_gender","rep_total_receipts.1","rep_total_pac_contribs","rep_total_indiv_unitemized","rep_total_indiv_contrib","rep_total_contribs_from_self","rep_total_disbursements","rep_cand_gender","split_ticket_war","GEM_WAR","nyt_mod"
2024,"House","2024_AL_01","Tom Holmes","Barry Moore","cand157382","H4AL01255","C00866939","cand141519","H8AL02171","C00720375",0.215,0.222,-0.00699105722222199,"Rep Incumbent",-2.98,4.585,NA,1.213,-1.176,1.074,NA,1.749,NA,1.437,-1.238,NA,-0.566,NA,-0.454,1.372,NA,NA,NA,1.409,NA,NA,NA,1.138,NA,NA,NA,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,6,0.481503104511996,0.680382300170926,0.388466194016946,17698.86,1130187.3,2002.63,1197.07,1879.75,10115.56,16817.5,"M",1130187.3,389496.99,18686.82,630930.57,0,1467853.12,"M",-0.65,-0.01891145,"nonmod"
2024,"House","2024_AL_02","Shomari Figures","Caroleene Dobson","cand218170","H4AL02170","C00856237","cand218175","H4AL02220","C00855494",0.546,0.545,0.000540514545455006,"Rep Incumbent",-4.134,4.105,NA,NA,-0.893,0.956,-0.872,1.572,-1.041,NA,NA,NA,NA,NA,-0.903,0.874,NA,NA,NA,NA,NA,NA,NA,NA,-1.912,NA,NA,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",0,0,0.513469752193874,0.674251446070092,0.389609591146634,2628628.73,3857871.22,613861.12,349985.26,1525379.24,3485,2605519.86,"M",3857871.22,410249.98,69047.21,1157053.23,0,3854940.03,"U",-1.1,-0.0142956,"mod"
2024,"House","2024_AL_06","Elizabeth Anderson","Gary Palmer","cand218188","H4AL06189","C00857342","cand143041","H4AL06098","C00551374",0.296,0.303,-0.00698559503030299,"Rep Incumbent",-2.607,4.212,NA,1.331,-1.122,1.042,-0.701,1.585,NA,1.523,NA,0.935,NA,0.917,-0.75,1.194,NA,1.296,NA,NA,NA,1.163,NA,1.366,NA,1.031,NA,0.666,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,4,0.603056464526909,0.727355307174738,0.480948543801082,208724.38,1728601.16,16192.99,103536.17,83253.22,162,173213.53,"F",1728601.16,596510,4120.31,1042315,0,2021427.7,"M",-2.25,-0.0001718,"nonmod"
2024,"House","2024_AL_07","Terri Sewell","Robin Litaker","cand1093","H0AL07086","C00458976","cand157465","H4AL07104","C00852129",0.637,0.616,0.021042130838384,"Dem Incumbent",-2.85,2.232,-1.035,NA,-0.512,0.777,-1.033,NA,-1.105,NA,NA,0.814,NA,NA,-0.491,0.406,-0.983,NA,NA,NA,-1.05,NA,-0.536,NA,NA,NA,-0.916,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",6,0,0.560139920115661,0.672017379361348,0.425601115112092,3036770.95,42634.27,2063873.95,78204.3,894692.69,0,2462142.12,"F",42634.27,786.47,9137.79,10037.8,0,42634.27,"F",0.1,-0.01343555,"nonmod"
2024,"House","2024_AK_01","Mary Peltola","Nick Begich","cand141426","H2AK01158","C00812388","cand210661","H2AK01083","C00792341",0.488,0.427,0.060681000666667,"Dem Incumbent",-2.924,3.308,-1.04,NA,-1.144,1.108,-0.506,1.443,-0.464,1.047,-1.147,0.657,-0.332,1.014,-0.989,1.002,NA,NA,NA,NA,NA,NA,-0.864,NA,NA,NA,NA,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",12,0,0.654979020397989,0.700315479980256,0.504608381309412,13443537.46,2792782.99,1615986.3,4395126.57,6404877.56,0,14050828.27,"F",2792782.99,318750,212048.22,2097040.01,599,2729686.92,"M",-4.55,-0.01801245,"nonmod"
2024,"House","2024_AZ_01","Amish Shah","David Schweikert","cand159856","H4AZ01194","C00836502","cand1096","H4AZ06045","C00540617",0.481,0.485,-0.00391850484848499,"Rep Incumbent",-2.554,3.908,NA,1.325,-1.009,0.962,-0.758,1.488,NA,1.225,NA,0.997,NA,1.343,-0.874,1.126,NA,1.129,-1.089,NA,NA,0.683,NA,1.323,-0.188,0.621,NA,0.852,"mod","nonmod","mod","nonmod","nonprog","nonprog",2,6,0.876123352812719,0.887303782654532,0.740618400389885,6343150.1,4213494.89,480244.58,1202117.36,4101817.96,31024.67,6252020.16,"M",4213494.89,1568134.77,121838.47,1631555.1,0,4216607.92,"M",-2,0.004741995,"mod"
2024,"House","2024_AZ_02","Jonathan Nez","Eli Crane","cand218220","H4AZ02184","C00853473","cand157224","H2AZ01354","C00784934",0.455,0.424,0.030909946757576,"Rep Incumbent",-3.242,5.662,NA,1.437,-1.131,1.307,-0.971,1.857,NA,1.686,NA,1.356,NA,1.799,-1.035,1.323,NA,NA,NA,NA,NA,NA,NA,1.76,-0.475,1.943,NA,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",0,0,0.761996730602945,0.852637148917801,0.616304940065383,5522850.09,8556812.57,201939,2912869.25,2407521.84,20,5457626.09,"M",8556812.57,114700,4638204.56,3774455.78,0,8301310.15,"M",-4.25,0.00994232,"mod"
2024,"House","2024_AZ_03","Yassamin Ansari","Jeff Zink","cand186443","S4AZ00139","C00558627","cand155853","H2AZ07187","C00766402",0.727,0.704,0.023360879346939,"Open Seat",-3.803,3.202,-1.346,0.978,-1.014,1.169,-1.079,NA,-1.039,NA,-0.936,1.323,-0.934,NA,-1.057,1.161,-1.409,NA,-1.435,NA,-1.149,NA,NA,-0.015,-0.392,-0.197,-1.187,NA,"nonmod","nonmod","nonmod","nonmod","prog","nonprog",6,0,0.708324912148022,0.690033598714484,0.4620919104308,129314399.9,49472,3569370.2,53960755.62,64810658.92,0,131445244.5,"M",49472,0,3522,15950,0,66342.3,"M",-1.45,-0.00154789,"nonmod"
2024,"House","2024_AZ_04","Greg Stanton","Kelly Cooper","cand142389","H8AZ09040","C00657304","cand210782","H2AZ09191","C00792085",0.537,0.535,0.00175070264646493,"Dem Incumbent",-2.557,4.789,-0.917,1.125,-0.701,1.119,-0.786,1.867,-0.803,NA,NA,NA,NA,NA,-0.635,1.62,-0.923,NA,NA,NA,-1.256,NA,-0.189,1.257,NA,1.136,-0.782,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",2,0,0.832113342918972,0.844906726500345,0.64685383302509,2796248.73,783907.65,806686.17,130427.44,1829384.87,0,1813860.16,"M",783907.65,81264,71875.29,535322.52,797.49,809288.83,"F",0.85,-0.008184455,"mod"
2024,"House","2024_AZ_05","Katrina Schaffner","Andy Biggs","cand218235","H4AZ05112","C00855486","cand160291","H6AZ05083","C00610451",0.396,0.398,-0.00184099067346899,"Rep Incumbent",-3.41,5.577,NA,1.472,-1.132,1.164,-0.952,1.936,NA,1.866,NA,NA,NA,NA,-1.062,1.274,NA,1.861,NA,2.063,NA,1.079,NA,1.294,-0.999,1.105,NA,1.951,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,10,0.851897032463653,0.872991919200435,0.703133481882054,69745.77,1383059.41,0,35269.27,30654.98,0,68855.87,"F",1383059.41,75985.2,585838.19,697359.77,0,1159653.7,"M",-1.9,0.0244897,"nonmod"
